geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNU4-2,345.8100628792236,-4.115219789431691,0.21106499304543416,-19.497405657156243,1.1549394240689572e-84,4.922236331439489e-80
SNORA73B,189.04459909982276,-3.1391203977090383,0.16679047841031888,-18.820741013683843,5.106539051714748e-79,1.0881779392251543e-74
RNU4-1,88.5142203542658,-4.1414583421443405,0.22174292364052078,-18.67684557482555,7.640282098659231e-78,1.0854039425425259e-73
CHGA,393.5478178810739,-4.1972454817199765,0.2371628960654068,-17.697732450367887,4.365331084056095e-70,4.651151136784668e-66
AFAP1-AS1,203.89076481127637,-2.9224600937900065,0.1673252234186546,-17.465747447280503,2.612570663896757e-68,2.2269029824923175e-64
SNORA23,23.438153008442956,-3.5928770393426905,0.21735577209057458,-16.529936172320735,2.2338005841681518e-61,1.5867057849443746e-57
SCARNA5,40.943896784743764,-3.0845808369087293,0.19562493929090227,-15.76783025768423,5.179891271610687e-56,3.1537398014967984e-52
AL031668.2,75.11112003333757,-2.3032145129029424,0.1474022212131764,-15.625371815611802,4.890604389712533e-55,2.6054083560644807e-51
SNORA74B,18.774155289904698,-3.616103286834206,0.23718166556942685,-15.246133288391615,1.7467565352124233e-52,8.271668530468696e-49
SNORA74A,21.205155363118394,-4.118987795246893,0.2783090683935749,-14.80004880553143,1.4637637443449524e-49,6.238414702023752e-46
SCARNA7,23.12871777229929,-2.5498915553831463,0.1779149911759988,-14.33207813759054,1.379305801972881e-46,5.344057634025655e-43
SNORA53,21.83996526321592,-2.3672953815109974,0.16539577212305723,-14.312913511173006,1.81737100198625e-46,6.454544561137666e-43
SNORA12,12.454442217211433,-2.539374886858223,0.1870394203289045,-13.576682831847911,5.506432169556152e-42,1.8052202510331818e-38
NFE4,36.52001185674202,-3.1243753451819245,0.23767518403214638,-13.145568216997118,1.804449035158539e-39,5.4931295306729836e-36
SLC6A15,110.67843471589396,-2.6781579833862175,0.2081506434932448,-12.86644104692923,6.953291158199835e-38,1.9756154391421253e-34
RN7SL1,4175.640269707414,-1.847415106897927,0.14398107655668496,-12.830957727771986,1.0999598142161752e-37,2.929949207629948e-34
SNORD15B,20.167130040505274,-2.1561683651435004,0.1690084135355918,-12.75775755796577,2.8220857543311748e-37,7.074968986108255e-34
CHRNA9,72.87771933284897,-2.504926227812093,0.1985666016423177,-12.615043049003127,1.7446228828241332e-36,4.1307823690600964e-33
