geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MMP11,24229.459191948416,6.277601634166765,0.14459616017458038,43.41471880434036,0.0,0.0
MYOM1,560.1667726411757,-4.848705989776591,0.11758554628707107,-41.235561196773745,0.0,0.0
NEK2,1473.6095804670583,4.251823447569933,0.11296114027325599,37.63970014187764,0.0,0.0
GPAM,4813.5631392178875,-4.419438431333401,0.1076951597637095,-41.036555784214904,0.0,0.0
COL10A1,8483.005443348635,7.116425867115869,0.15666486026014828,45.424518652739096,0.0,0.0
FHL1,9096.328268976462,-5.050475424150745,0.13922140106071232,-36.27657375713602,3.788169887365179e-288,2.8994020956245185e-284
LINC01614,303.19332268985545,5.577019147613661,0.1542049400068468,36.16628071296573,2.0641626671197142e-286,1.3541791737448377e-282
TNS1,15062.22759824038,-3.104378403390998,0.08853141362686634,-35.06527543404009,2.281435956461847e-269,1.3096297928574675e-265
COL11A1,11919.89993286769,6.182398208005263,0.17764331627637434,34.80231250798536,2.2440282428286835e-265,1.1450278777269072e-261
KIF4A,1539.695404212177,3.846192195095452,0.11317520630126138,33.98440630942844,3.7868529257877435e-253,1.7390364691095054e-249
LYVE1,750.4667975884981,-4.963426657814263,0.14688411633917772,-33.79144581128811,2.6339782496650526e-250,1.0996380287215292e-246
PKMYT1,926.9625650887797,4.013008551353388,0.11905056417258822,33.70843791664615,4.3487005232200224e-249,1.6642114510652757e-245
PLPP4,480.4110074207965,4.998867145903244,0.15178570918451245,32.93371406807846,7.237550973622937e-238,2.556692718166816e-234
HSPB7,972.5380004847859,-5.200437683515833,0.1587957527141546,-32.74922404805781,3.114467311491105e-235,1.0216120167543286e-231
CAV1,8561.595489519825,-3.367372655418738,0.1037939468224041,-32.44286163604952,6.829840260074841e-231,2.090978361756113e-227
KLB,364.90591032648666,-4.687383675532631,0.14539746060930916,-32.238415003188294,5.113020210203668e-228,1.4675326694573942e-224
SIK2,3682.5284230646853,-2.4426009698883884,0.07594480961189012,-32.162842758723144,5.841697297003656e-227,1.5780486174723465e-223
NPR1,1180.3006193819672,-3.6090047100880636,0.11229577539702423,-32.1383836331184,1.2834753081259998e-226,3.2745020319483494e-223
SORBS1,6572.011106869789,-3.6485480754252158,0.11353502006566413,-32.13588259653313,1.3910033242866245e-226,3.3620550348007714e-223
